--- Telegram Scrape Report ---
Timestamp: 2026-04-06 18:22:19
Total Channels: 92
Successful Scrapes: 36
Failed Scrapes: 0

--- Channels with Found Configs ---
freakconfig: 70 configs
sockss_http: 70 configs
config_dooni: 70 configs
GalaxyMVPN: 70 configs
masterserver1: 62 configs
itenvpn: 48 configs
v2ngfast: 45 configs
azarbayjab1: 43 configs
Farah_VPN: 20 configs
WarV2Ray: 17 configs
Greenvpn2: 17 configs
v2ray_god: 14 configs
Tweety_Proxy: 14 configs
DALTON_PING: 13 configs
dalton_ping: 13 configs
lexernet: 8 configs
mcv2rayng: 8 configs
vpnkanfik: 8 configs
v2ra_config: 8 configs
Movie_Centrall: 8 configs
bored_vpn: 7 configs
arv2ray: 6 configs
spikevpn: 4 configs
expressvpn_420: 3 configs
vpnod: 3 configs
fnet00: 2 configs
v2ray_rolly: 2 configs
v2raymelliii: 2 configs
capoit: 1 configs
configx2ray: 1 configs
confingv2raayng: 1 configs
ineronix: 1 configs
proxystore11: 1 configs
summertimeus: 1 configs
tehranargo: 1 configs
ConfigX2ray: 1 configs

--- Failed Channels ---
